Member,Prefix,FirstName,LastName,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Barletta,Hon.,Lou,Barletta,20006832,JT,Vanguard Intermediate,,03/1/2017,03/1/2017,"$1,001",-,New,New Joint Account held at LPL Financial
Blum,Hon.,Rodney Leland,Blum,20007916,JT,"Tintri, Inc.",TNTR,08/4/2017,08/7/2017,"$50,001",-,New,Subholding of: RodandKarenBlumIRA
Brooks,Hon.,Mo,Brooks,20008596,JT,Tenn Valley auth,,11/27/2017,11/27/2017,"$15,001",-,New,
Brooks,Hon.,Mo,Brooks,20008596,JT,"alpha Pro Tech, ltd.",aPT,11/20/2017,11/20/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20008301,JT,"alpha Pro Tech, ltd.",aPT,10/13/2017,10/13/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20008301,JT,"alpha Pro Tech, ltd.",aPT,08/24/2017,08/27/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20007835,JT,"alpha Pro Tech, ltd.",aPT,07/20/2017,07/20/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20007636,JT,"alpha Pro Tech, ltd.",aPT,06/29/2017,06/29/2017,"$1,001",-,New,
Brooks,Hon.,Susan W.,Brooks,20007640,SP,"onspira Therapeutics, Inc.",Onsemi,06/15/2017,06/15/2017,"$15,001",-,New,Initial Purchase
Brooks,Hon.,Mo,Brooks,20007410,JT,"alpha Pro Tech, ltd.",aPT,06/1/2017,06/1/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20007279,JT,"alpha Pro Tech, ltd.",aPT,05/12/2017,05/12/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20007279,JT,Twenty,FOXa,05/12/2017,05/12/2017,"$1,001",-,New,
Brooks,Hon.,Susan W.,Brooks,20007073,SP,"Velicept Therapeutics, Inc.",,04/8/2017,04/4/2017,"$1,001",-,New,Purchase of shares
Brooks,Hon.,Mo,Brooks,20006992,JT,"Becton, Dickinson and Company",BDX,03/21/2017,03/21/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20006992,JT,Exxon Mobil Corporation,XOM,03/21/2017,03/21/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20006992,JT,Procter & gamble Company,PG,03/21/2017,03/21/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20006992,JT,union Pacific Corporation,UNP,03/21/2017,03/21/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20006992,JT,Wells Fargo & Company,WFC,03/21/2017,03/21/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20006992,JT,oracle Corporation,ORCL,03/15/2017,03/15/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20006768,JT,Forney TX indpt sch Dist Ref OY 6.40,,02/9/2017,02/9/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20006768,JT,Tucows Inc.,TCX,02/15/2017,02/15/2017,"$15,001",-,New,
Brooks,Hon.,Mo,Brooks,20006641,JT,"lee Enterprises, Incorporated",lEE,01/27/2017,01/27/2017,"$1,001",-,New,
Brooks,Hon.,Mo,Brooks,20006641,JT,Verizon Communications Inc.,VZ,01/27/2017,01/27/2017,"$1,001",-,New,
Castor,Hon.,Kathy,Castor,20007742,JT,Walt Disney Company,DIS,08/4/2017,08/4/2017,"$1,001",-,New,
Castor,Hon.,Kathy,Castor,20006946,JT,apple Inc.,AAPL,03/15/2017,03/15/2017,"$1,001",-,New,
Castor,Hon.,Kathy,Castor,20006751,JT,Boeing Company,BA,02/14/2017,02/14/2017,"$15,001",-,New,
Castor,Hon.,Kathy,Castor,20006751,JT,Intel Corporation,INTC,02/14/2017,02/14/2017,"$1,001",-,New,
Castor,Hon.,Kathy,Castor,20006751,JT,Intel Corporation,INTC,02/14/2017,02/14/2017,"$1,001",-,New,
Castor,Hon.,Kathy,Castor,20006751,JT,"Merck & Company, Inc. Common stock",MRK,02/14/2017,02/14/2017,"$1,001",-,New,
Castor,Hon.,Kathy,Castor,20006751,JT,"Pfizer, Inc.",PFE,02/14/2017,02/14/2017,"$1,001",-,New,
Clark,Hon.,Katherine M.,Clark,20008419,SP,Amgen Inc.,AMGN,10/5/2017,11/17/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20008419,SP,Amgen Inc.,AMGN,10/5/2017,11/17/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20008419,SP,Southern Copper Corporation,SCCO,10/5/2017,11/17/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20008419,SP,Southern Copper Corporation,SCCO,10/5/2017,11/17/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,Centene Corporation,CNC,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,Centene Corporation,CNC,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,discover Financial Services,dFS,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,discover Financial Services,dFS,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,Invesco ltd,IVZ,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,Invesco ltd,IVZ,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,"Nike, Inc.",NKE,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRAID Owner Asset Transaction Date Notification Amount
Clark,Hon.,Katherine M.,Clark,20007829,SP,"Nike, Inc.",NKE,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,Schlumberger N.V.,SLB,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,Sony Corporation,SNE,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007829,SP,Starbucks Corporation,SBUX,07/3/2017,08/14/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,"blackRock, Inc.",BLK,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRAID Owner Asset Transaction Date Notification Amount
Clark,Hon.,Katherine M.,Clark,20007336,SP,"blackRock, Inc.",BLK,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Clorox Company,CLX,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Clorox Company,CLX,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,discover Financial Services,dFS,01/5/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,"dominion Energy, Inc.",D,01/5/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,general Electric Company,GE,01/5/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Honeywell International Inc.,HON,01/5/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Honeywell International Inc.,HON,01/5/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,"Metlife, Inc.",MET,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,"Metlife, Inc.",MET,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRAID Owner Asset Transaction Date Notification Amount
Clark,Hon.,Katherine M.,Clark,20007336,SP,Microsoft Corporation,MSFT,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Microsoft Corporation,MSFT,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Novo Nordisk A/S,NVO,01/5/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Novo Nordisk A/S,NVO,01/5/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Ritchie bros. Auctioneers Incorporated,RbA,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Ritchie bros. Auctioneers Incorporated,RbA,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Schlumberger N.V.,SLB,01/5/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Schlumberger N.V.,SLB,01/5/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Sealed Air Corporation,SEE,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Sealed Air Corporation,SEE,04/4/2017,05/22/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Amgen Inc.,AMGN,10/11/2016,04/26/2017,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,Hon.,Katherine M.,Clark,20007336,SP,Amgen Inc.,AMGN,10/11/2016,04/26/2017,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
