Member,Prefix,FirstName,LastName,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Allen,Hon.,Richard W.,Allen,20018703,Thermo,,TMO,S,Scientific,Inc,S,New,
Allen,Hon.,Richard W.,Allen,20019774,JT,"Total System Services, Inc",TSS,S,12/27/2019,01/03/2020,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20019774,JT,united Technologies Corporation,uTX,S,12/27/2019,01/03/2020,"$1,001 - $15,000 gfedc",New,Subholding of: Charles Schwab IRA
Allen,Hon.,Richard W.,Allen,20018021,SP,"Dominion Energy, Inc",D,S,12/15/2020,12/18/2020,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20019790,SP,"PayPal Holdings, Inc",PYPL,S,10/22/2021,10/26/2021,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20019790,SP,"Freeport-McMoRan, Inc",FCX,S,10/04/2021,10/06/2021,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20019561,SP,Dover Corporation,DOV,P,06/16/2020,06/22/2020,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20019775,SP,Dover Corporation,DOV,P,06/15/2021,06/19/2020,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20019653,SP,3M Company,MMM,S,05/14/2020,05/20/2020,"$1 - $1,000",New,
Allen,Hon.,Richard W.,Allen,20019653,SP,"Home Depot, Inc",HD,P,05/14/2020,05/20/2020,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20018906,JT,Accenture plc Class A Ordinary,ACN,P,05/13/2021,05/17/2021,"$50,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20018906,JT,South State Corporation,SSB,S,05/13/2021,05/17/2021,"$15,001 - gfedcb",New,
Allen,Hon.,Richard W.,Allen,20018906,JT,Albemarle Corporation,ALB,P,05/04/2021,05/06/2021,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20018906,JT,Johnson & Johnson,JNJ,P,05/04/2021,05/06/2021,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20019653,SP,Truist Financial Corporation,TFC,S,04/15/2020,04/22/2020,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20018530,JT,"Church & Dwight Company, Inc",CHD,S,03/10/2021,03/15/2021,"$15,001 - gfedcb",New,
Allen,Hon.,Richard W.,Allen,20018530,JT,"Merck & Company, Inc. Common",MRK,S,03/10/2021,03/15/2021,"$15,001 - gfedcb",New,
Allen,Hon.,Richard W.,Allen,20018530,JT,"NextEra Energy, Inc",NEE,P,03/10/2021,03/15/2021,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20018530,JT,Thermo Fisher Scientific Inc,TMO,P,03/10/2021,03/15/2021,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20018530,JT,Walt Disney Company,DIS,P,03/10/2021,03/15/2021,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20018393,SP,Deere & Company,DE,P,02/26/2021,03/01/2021,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20018393,SP,"Freeport-McMoRan, Inc",FCX,P,02/26/2021,03/01/2021,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20018393,SP,Starbucks Corporation,SBUX,P,02/26/2021,03/01/2021,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20019653,SP,Walmart Inc,WMT,P,02/20/2020,02/26/2020,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20018393,JT,South State Corporation,SSB,S,02/18/2021,02/22/2021,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20018393,SP,Albemarle Corporation,ALB,P,02/10/2021,02/15/2021,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20018393,JT,Deere & Company,DE,P,02/10/2021,02/15/2021,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20018393,JT,"Freeport-McMoRan, Inc",FCX,P,02/10/2021,02/15/2021,"$15,001 - gfedc",New,
Allen,Hon.,Richard W.,Allen,20018393,SP,"PayPal Holdings, Inc",PYPL,P,02/10/2021,02/15/2021,"$1,001 - $15,000 gfedc",New,
Allen,Hon.,Richard W.,Allen,20018393,JT,South State Corporation,SSB,S,02/10/2021,02/15/2021,"$15,001 - gfedc",New,
