Member,Prefix,FirstName,LastName,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Amash,Hon.,Justin,Amash,20005183,JT,CVSL Inc,CVSL,S,11/10/2015,04/30/2016,"$1,001 - $15,000",New,"Subholding of: Standard Bear, LLC"
Ashford,Hon.,Brad,Ashford,20006390,JT,DryShips Inc,DRYS,P,12/6/2016,12/6/2016,"$1,001 - $15,000",New,Subholding of: Brad Ashford Retirement Account > Brad Ashford SEP IRA Retirement Account
Ashford,Hon.,Brad,Ashford,20004420,JT,"Mondelez International, Inc. - Class A",MDLZ,S,12/28/2015,12/28/2015,"$1,001 - $15,000",New,Subholding of: Brad and Ann Ashford Joint Account
Ashford,Hon.,Brad,Ashford,20006390,JT,Cliffs Natural Resources Inc,ClF,P,12/2/2016,12/6/2016,"$1,001 - $15,000",New,Subholding of: Brad Ashford Retirement Account > Brad Ashford SEP IRA Retirement Account
Ashford,Hon.,Brad,Ashford,20006391,JT,Apache Corporation,APA,S,11/28/2016,12/13/2016,"$1,001 - $15,000",New,Joint Stock Account with adult daughter Eleanor Ashford
Ashford,Hon.,Brad,Ashford,20006308,SP,Medtronic plc. Ordinary Shares,MDT,S,11/28/2016,11/28/2016,"$1,001 - $15,000",New,"Sold 100 shares of Medtronic at $74.445 per share for a total of $7,434.34."
Ashford,Hon.,Brad,Ashford,20006308,SP,"Pfizer, Inc",PFE,S,11/28/2016,11/28/2016,"$1,001 - $15,000",New,Sold 100 shares of Pfizer at $31.58 per share for a total of $3147.94.
Ashford,Hon.,Brad,Ashford,20006309,JT,Mesabi Trust,MSB,P,11/22/2016,11/22/2016,"$1,001 - $15,000",New,Bought 350 Mesabi Trust in IRA account $10.5389 per share.
Ashford,Hon.,Brad,Ashford,20005414,JT,Bank Of Ireland The governor & Co of,BAC,S,05/27/2016,05/27/2016,"$1,001 - $15,000",New,Subholding of: Brad and Ann Ashford Joint Account
Ashford,Hon.,Brad,Ashford,20004894,SP,3M Company,MMM,S,03/29/2016,03/29/2016,"$15,001 - $50,000",New,Subholding of: Ann Ashford Stock Account
Ashford,Hon.,Brad,Ashford,20004894,SP,Apache Corporation,APA,S,03/29/2016,03/29/2016,"$15,001 - $50,000",New,Subholding of: Ann Ashford Stock Account
Ashford,Hon.,Brad,Ashford,20004894,JT,Apache Corporation,APA,S,03/28/2016,03/28/2016,"$1,001 - $15,000",New,Joint Stock Account with adult daughter Eleanor Ashford
Ashford,Hon.,Brad,Ashford,20004419,JT,Walt Disney Company,DIS,S,01/4/2016,01/4/2016,"$15,001 - $50,000",New,Subholding of: Brad Ashford Retirement Account> Brad Ashford SEP IRA Retirement Account
Ashford,Hon.,Brad,Ashford,20004485,SP,Apache Corporation,APA,S,01/15/2016,01/15/2016,"$1,001 - $15,000",New,Subholding of: Ann Ashford Stock Account
Ashford,Hon.,Brad,Ashford,20004485,SP,Berkshire Hathaway Inc. New,BRK.B,S,01/15/2016,01/15/2016,"$15,001 - $50,000",New,Subholding of: Ann Ashford Stock Account
Babin,Hon.,Brian,Babin,20005532,JT,Fortress Transportation and,,P,06/28/2016,06/28/2016,"$1,001 - $15,000",New,Subholding of: UBS SEP-IRA
Babin,Hon.,Brian,Babin,20005154,JT,"Orbital aTK, Inc",Oa,P,04/8/2016,04/22/2016,"$1,001 - $15,000",New,
Babin,Hon.,Brian,Babin,20005154,JT,"Orbital aTK, Inc",Oa,S,04/19/2016,04/22/2016,"$1,001 - $15,000",New,
Barletta,Hon.,Lou,Barletta,20004906,SP,Alerian MLP ETF,AMLP,S,12/9/2015,12/9/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial IRA 5494
Barletta,Hon.,Lou,Barletta,20004906,JT,Vanguard Financials ETF - dNQ,VFH,P,12/4/2015,12/4/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial 7802
Barletta,Hon.,Lou,Barletta,20004906,JT,Vanguard High dividend Yield ETF -,,P,12/28/2015,12/28/2015,"$15,001 - $50,000",New,Subholding of: Ameriprise Financial 7802
Barletta,Hon.,Lou,Barletta,20004906,SP,Vanguard High dividend Yield ETF -,,P,12/18/2015,12/18/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial IRA 5494
Barletta,Hon.,Lou,Barletta,20004906,JT,Vanguard High dividend Yield ETF -,,P,12/18/2015,12/18/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial IRA 3851
Barletta,Hon.,Lou,Barletta,20006116,JT,"Amazon.com, Inc",AMZN,P,10/28/2016,10/28/2016,"$15,001 - $50,000",New,
Barletta,Hon.,Lou,Barletta,20006116,JT,Berkshire Hathaway Inc. New,BRK.B,S,10/28/2016,10/28/2016,"$1,001 - $15,000",New,New IRA Account held at LPL Financial
Barletta,Hon.,Lou,Barletta,20004906,JT,Berkshire Hathaway Inc. New,BRK.B,P,09/22/2015,09/22/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial IRA 3851
Barletta,Hon.,Lou,Barletta,20004906,JT,Vanguard Mega Cap growth ETF,MgK,S,09/11/2015,09/11/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial 7802
Barletta,Hon.,Lou,Barletta,20004906,JT,SPdR dow Jones Industrial Average,,P,09/1/2015,09/1/2015,"$15,001 - $50,000",New,Subholding of: Ameriprise Financial IRA 3851
Barletta,Hon.,Lou,Barletta,20004906,SP,SPdR dow Jones Industrial Average,,P,09/1/2015,09/1/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial IRA 5494iD owner asset transaction Date notification amount
Barletta,Hon.,Lou,Barletta,20004906,JT,LMP Capital and Income Fund Inc,SCd,S,08/5/2015,08/5/2015,"$15,001 - $50,000",New,Subholding of: Ameriprise Financial IRA 3851
Barletta,Hon.,Lou,Barletta,20004906,SP,LMP Capital and Income Fund Inc,SCd,S,08/5/2015,08/5/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial IRA 5494
Barletta,Hon.,Lou,Barletta,20005897,JT,sPDR Dow Jones Industrial Average,,S,08/30/2016,08/30/2016,"$15,001 - $50,000",New,New Joint Account held at LPL Financial
Barletta,Hon.,Lou,Barletta,20004906,JT,Vanguard Mega Cap growth ETF,MgK,S,08/26/2015,08/26/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial IRA 3851
Barletta,Hon.,Lou,Barletta,20005897,JT,"LB, LLC- Edgewood in the Pines golf",,S,07/1/2016,07/1/2016,"$1,001 - $15,000",New,sold share of ownership
Barletta,Hon.,Lou,Barletta,20004906,JT,iShares global Telecom ETF,IXP,S,06/30/2015,06/30/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial 7802
Barletta,Hon.,Lou,Barletta,20004906,JT,Oppenheimer Large Cap Revenue ETF,RWL,P,06/3/2015,06/3/2015,"$1,001 - $15,000",New,Subholding of: Ameriprise Financial 9039
Barletta,Hon.,Lou,Barletta,20004906,JT,SPdR & dividend ETF,SdY,S,04/23/2015,04/23/2015,"$15,001 - $50,000",New,Subholding of: Ameriprise Financial 9039
Barletta,Hon.,Lou,Barletta,20005220,JT,AllianceBernstein Short Duration,,E,03/7/2016,03/7/2016,"$1,001 - $15,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,JT,AllianceBernstein Short Duration,,E,03/7/2016,03/7/2016,"$1,001 - $15,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,SP,AllianceBernstein Short Duration,,E,03/7/2016,03/7/2016,"$1,001 - $15,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,SP,AXA 2000 Managed Volatility,,E,03/7/2016,03/7/2016,"$1,001 - $15,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,JT,AXA 2000 Managed Volatility,,E,03/7/2016,03/7/2016,"$1,001 - $15,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,JT,AXA 400 Managed Volatility,,E,03/7/2016,03/7/2016,"$1,001 - $15,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,JT,AXA 400 Managed Volatility,,E,03/7/2016,03/7/2016,"$1,001 - $15,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,SP,AXA 400 Managed Volatility,,E,03/7/2016,03/7/2016,"$1,001 - $15,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,SP,AXA 500 Managed Volatility,,E,03/7/2016,03/7/2016,"$15,001 - $50,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,JT,AXA 500 Managed Volatility,,E,03/7/2016,03/7/2016,"$15,001 - $50,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,JT,AXA 500 Managed Volatility,,E,03/7/2016,03/7/2016,"$15,001 - $50,000",New,Annuity Auto Rebalance
Barletta,Hon.,Lou,Barletta,20005220,JT,AXA International Managed Volatility,,E,03/7/2016,03/7/2016,"$1,001 - $15,000",New,Annuity Auto Rebalance
