Member,Prefix,FirstName,LastName,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Allen,Hon.,Richard W.,Allen,20023082,SouthState,Corporation,,S,[ST],S,(partial),New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,SouthState,Corporation,,S,[ST],S,(partial),New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,SouthState,Corporation,,S,[ST],S,(partial),New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,SouthState,Corporation,,S,[ST],S,(partial),New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,2000078994,,TMO,S,Thermo,Fisher,Scientific,New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,2000068092,,,S,South,State,Corporation,New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,2000076734,,,S,South,State,Corporation,New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,2000076731,,,S,South,State,Corporation,New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,2000079933,,,S,South,State,Corporation,New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,SP,BB&T Corporation,BBT,S,S,(partial),04/27/2018,New,Subholding of: LIVTR
Allen,Hon.,Richard W.,Allen,20023082,SP,BB&T Corporation,BBT,S,S,(partial),06/19/2019,New,Subholding of: LIVTR
Allen,Hon.,Richard W.,Allen,20023082,SP,BB&T Corporation,BBT,S,S,(partial),03/23/2017,New,Subholding of: LIVTR
Allen,Hon.,Richard W.,Allen,20023082,SP,,,S,Corporation,(SSB),[ST],New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,SP,,,S,Corporation,(SSB),[ST],New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,SP,,,S,Corporation,(SSB),[ST],New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,Hon.,Richard W.,Allen,20023082,SP,,,S,Corporation,(SSB),[ST],New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
